productID:1 | title:Used iPhone 12 | description:Good condition | price:500.00 | sellerID:1 | status:available | imagePath:/goodsImage/item1.jpg | productType:Cellphones
productID:31 | title:Fitbit Charge 4 | description:Track your fitness | price:100.00 | sellerID:25 | status:available | imagePath:/goodsImage/item1.jpg | productType:Others
productID:32 | title:Surface Pro 7 | description:Versatile laptop | price:900.00 | sellerID:26 | status:available | imagePath:/goodsImage/item1.jpg | productType:Computers
productID:33 | title:Blender | description:Perfect for smoothies | price:60.00 | sellerID:27 | status:available | imagePath:/goodsImage/item1.jpg | productType:Groceries
productID:34 | title:Dyson Hair Dryer | description:Fast drying | price:250.00 | sellerID:28 | status:available | imagePath:/goodsImage/item1.jpg | productType:Beauty
productID:35 | title:Instant Pot | description:Multi-use cooker | price:80.00 | sellerID:29 | status:available | imagePath:/goodsImage/item1.jpg | productType:Groceries
productID:36 | title:Cole Haan Shoes | description:Comfortable walking shoes | price:100.00 | sellerID:30 | status:available | imagePath:/goodsImage/item1.jpg | productType:Clothing
productID:37 | title:Electric Kettle | description:Boils water quickly | price:25.00 | sellerID:31 | status:available | imagePath:/goodsImage/item1.jpg | productType:Groceries
productID:38 | title:Nikon D5600 DSLR | description:High resolution | price:700.00 | sellerID:32 | status:available | imagePath:/goodsImage/item1.jpg | productType:Others
productID:39 | title:Apple Mac Mini | description:Compact desktop | price:800.00 | sellerID:33 | status:available | imagePath:/goodsImage/item1.jpg | productType:Computers
productID:40 | title:Kenwood Toaster | description:Two-slice toaster | price:30.00 | sellerID:34 | status:available | imagePath:/goodsImage/item1.jpg | productType:Groceries
productID:41 | title:test | description:test | price:20.00 | sellerID:1 | status:sold | imagePath:/goodsImage/item1.jpg | productType:Beauty
productID:42 | title:test2 | description:test2 | price:20.00 | sellerID:1 | status:sold | imagePath:/goodsImage/item1.jpg | productType:Beauty
productID:43 | title:test3 | description:23456789gbfvcdx | price:4567.00 | sellerID:777 | status:available | imagePath: | productType:Groceries
